"Statistic","Year","Electoral Division","UNIT","VALUE"
"Household median gross income","2016","162 Wood Quay B, Dublin City","Euro","41864"
"Household median gross income","2016","001 Ballinascorney, South Dublin","Euro","41878"
"Household median gross income","2016","002 Ballyboden, South Dublin","Euro","76162"
"Household median gross income","2016","003 Bohernabreena, South Dublin","Euro","58160"
"Household median gross income","2016","004 Clondalkin-Ballymount, South Dublin","Euro","58067"
"Household median gross income","2016","005 Clondalkin-Cappaghmore, South Dublin","Euro","33283"
"Household median gross income","2016","006 Clondalkin-Dunawley, South Dublin","Euro","40346"
"Household median gross income","2016","007 Clondalkin-Monastery, South Dublin","Euro","49997"
"Household median gross income","2016","008 Clondalkin-Moorfield, South Dublin","Euro","42220"
"Household median gross income","2016","009 Clondalkin-Rowlagh, South Dublin","Euro","38089"
"Household median gross income","2016","010 Clondalkin Village, South Dublin","Euro","48837"
"Household median gross income","2016","011 Edmondstown, South Dublin","Euro","57632"
"Household median gross income","2016","012 Firhouse-Ballycullen, South Dublin","Euro","81556"
"Household median gross income","2016","013 Firhouse-Knocklyon, South Dublin","Euro","70480"
"Household median gross income","2016","014 Firhouse Village, South Dublin","Euro","63175"
"Household median gross income","2016","015 Lucan-Esker, South Dublin","Euro","64278"
"Household median gross income","2016","016 Lucan Heights, South Dublin","Euro","56903"
"Household median gross income","2016","017 Lucan-St. Helen's, South Dublin","Euro","60312"
"Household median gross income","2016","018 Newcastle, South Dublin","Euro","57273"
"Household median gross income","2016","019 Palmerston Village, South Dublin","Euro","47352"
"Household median gross income","2016","020 Palmerston West, South Dublin","Euro","53190"
"Household median gross income","2016","021 Rathcoole, South Dublin","Euro","59582"
"Household median gross income","2016","022 Rathfarnham-Ballyroan, South Dublin","Euro","64915"
"Household median gross income","2016","023 Rathfarnham-Butterfield, South Dublin","Euro","69760"
"Household median gross income","2016","024 Rathfarnham-Hermitage, South Dublin","Euro","80530"
"Household median gross income","2016","025 Rathfarnham-St. Enda's, South Dublin","Euro","65485"
"Household median gross income","2016","026 Rathfarnham Village, South Dublin","Euro","67965"
"Household median gross income","2016","027 Saggart, South Dublin","Euro","55179"
"Household median gross income","2016","028 Tallaght-Avonbeg, South Dublin","Euro","36623"
"Household median gross income","2016","029 Tallaght-Belgard, South Dublin","Euro","52863"
"Household median gross income","2016","030 Tallaght-Fettercairn, South Dublin","Euro","36576"
"Household median gross income","2016","031 Tallaght-Glenview, South Dublin","Euro","43622"
"Household median gross income","2016","032 Tallaght-Jobstown, South Dublin","Euro","42775"
"Household median gross income","2016","033 Tallaght-Killinardan, South Dublin","Euro","35993"
"Household median gross income","2016","034 Tallaght-Kilnamanagh, South Dublin","Euro","54969"
"Household median gross income","2016","035 Tallaght-Kiltipper, South Dublin","Euro","43495"
"Household median gross income","2016","036 Tallaght-Kingswood, South Dublin","Euro","49299"
"Household median gross income","2016","037 Tallaght-Millbrook, South Dublin","Euro","41703"
"Household median gross income","2016","038 Tallaght-Oldbawn, South Dublin","Euro","48745"
"Household median gross income","2016","039 Tallaght-Springfield, South Dublin","Euro","42677"
"Household median gross income","2016","040 Tallaght-Tymon, South Dublin","Euro","39826"
"Household median gross income","2016","041 Templeogue-Cypress, South Dublin","Euro","69383"
"Household median gross income","2016","042 Templeogue-Kimmage Manor, South Dublin","Euro","80138"
"Household median gross income","2016","043 Templeogue-Limekiln, South Dublin","Euro","48073"
"Household median gross income","2016","044 Templeogue-Orwell, South Dublin","Euro","66991"
"Household median gross income","2016","045 Templeogue-Osprey, South Dublin","Euro","66990"
"Household median gross income","2016","046 Templeogue Village, South Dublin","Euro","75466"
"Household median gross income","2016","047 Terenure-Cherryfield, South Dublin","Euro","46066"
"Household median gross income","2016","048 Terenure-Greentrees, South Dublin","Euro","50678"
"Household median gross income","2016","049 Terenure-St. James, South Dublin","Euro","38875"
"Household median gross income","2016","001 Airport, Fingal","Euro","52482"
"Household median gross income","2016","002 Balbriggan Rural, Fingal","Euro","45697"
"Household median gross income","2016","003 Balbriggan Urban, Fingal","Euro","42407"
"Household median gross income","2016","004 Baldoyle, Fingal","Euro","54984"
"Household median gross income","2016","005 Balgriffin, Fingal","Euro","80530"
"Household median gross income","2016","006 Ballyboghil, Fingal","Euro","61409"
"Household median gross income","2016","007 Balscadden, Fingal","Euro","58510"
"Household median gross income","2016","008 Blanchardstown-Abbotstown, Fingal","Euro","62675"
"Household median gross income","2016","009 Blanchardstown-Blakestown, Fingal","Euro","58709"
"Household median gross income","2016","010 Blanchardstown-Coolmine, Fingal","Euro","45761"
"Household median gross income","2016","011 Blanchardstown-Corduff, Fingal","Euro","40192"
"Household median gross income","2016","012 Blanchardstown-Delwood, Fingal","Euro","57708"
"Household median gross income","2016","013 Blanchardstown-Mulhuddart, Fingal","Euro","42786"
"Household median gross income","2016","014 Blanchardstown-Roselawn, Fingal","Euro","53133"
"Household median gross income","2016","015 Blanchardstown-Tyrrelstown, Fingal","Euro","34167"
"Household median gross income","2016","016 Castleknock-Knockmaroon, Fingal","Euro","79636"
"Household median gross income","2016","017 Castleknock-Park, Fingal","Euro","89031"
"Household median gross income","2016","018 Clonmethan, Fingal","Euro","59584"
"Household median gross income","2016","019 Donabate, Fingal","Euro","65437"
"Household median gross income","2016","020 Dubber, Fingal","Euro","52108"
"Household median gross income","2016","021 Garristown, Fingal","Euro","52448"
"Household median gross income","2016","022 Hollywood, Fingal","Euro","62735"
"Household median gross income","2016","023 Holmpatrick, Fingal","Euro","62104"
"Household median gross income","2016","024 Howth, Fingal","Euro","68442"
"Household median gross income","2016","025 Kilsallaghan, Fingal","Euro","55115"
"Household median gross income","2016","026 Kinsaley, Fingal","Euro","60188"
"Household median gross income","2016","027 Lucan North, Fingal","Euro","105943"
"Household median gross income","2016","028 Lusk, Fingal","Euro","59784"
"Household median gross income","2016","029 Malahide East, Fingal","Euro","75514"
"Household median gross income","2016","030 Malahide West, Fingal","Euro","77014"
"Household median gross income","2016","031 Portmarnock North, Fingal","Euro","69543"
"Household median gross income","2016","032 Portmarnock South, Fingal","Euro","64831"
"Household median gross income","2016","033 Rush, Fingal","Euro","54842"
"Household median gross income","2016","034 Skerries, Fingal","Euro","57676"
"Household median gross income","2016","035 Sutton, Fingal","Euro","58475"
"Household median gross income","2016","036 Swords-Forrest, Fingal","Euro","64455"
"Household median gross income","2016","037 Swords-Glasmore, Fingal","Euro","57926"
"Household median gross income","2016","038 Swords-Lissenhall, Fingal","Euro","59577"
"Household median gross income","2016","039 Swords-Seatown, Fingal","Euro","72416"
"Household median gross income","2016","040 Swords Village, Fingal","Euro","50097"
"Household median gross income","2016","041 The Ward, Fingal","Euro","58226"
"Household median gross income","2016","042 Turnapin, Fingal","Euro","60132"
"Household median gross income","2016","001 Ballinteer-Broadford, Dún Laoghaire-Rathdown","Euro","57994"
"Household median gross income","2016","002 Ballinteer-Ludford, Dún Laoghaire-Rathdown","Euro","54693"
"Household median gross income","2016","003 Ballinteer-Marley, Dún Laoghaire-Rathdown","Euro","69462"
"Household median gross income","2016","004 Ballinteer-Meadowbroads, Dún Laoghaire-Rathdown","Euro","65210"
"Household median gross income","2016","005 Ballinteer-Meadowmount, Dún Laoghaire-Rathdown","Euro","44324"
"Household median gross income","2016","006 Ballinteer-Woodpark, Dún Laoghaire-Rathdown","Euro","72990"
"Household median gross income","2016","007 Ballybrack, Dún Laoghaire-Rathdown","Euro","58667"
"Household median gross income","2016","008 Blackrock-Booterstown, Dún Laoghaire-Rathdown","Euro","76600"
"Household median gross income","2016","009 Blackrock-Carysfort, Dún Laoghaire-Rathdown","Euro","80185"
"Household median gross income","2016","010 Blackrock-Central, Dún Laoghaire-Rathdown","Euro","86896"
"Household median gross income","2016","011 Blackrock-Glenomena, Dún Laoghaire-Rathdown","Euro","82452"
"Household median gross income","2016","012 Blackrock-Monkstown, Dún Laoghaire-Rathdown","Euro","66619"
"Household median gross income","2016","013 Blackrock-Newpark, Dún Laoghaire-Rathdown","Euro","66930"
"Household median gross income","2016","014 Blackrock-Seapoint, Dún Laoghaire-Rathdown","Euro","85947"
"Household median gross income","2016","015 Blackrock-Stradbrook, Dún Laoghaire-Rathdown","Euro","60325"
"Household median gross income","2016","016 Blackrock-Templehill, Dún Laoghaire-Rathdown","Euro","63300"
"Household median gross income","2016","017 Blackrock-Williamstown, Dún Laoghaire-Rathdown","Euro","78239"
"Household median gross income","2016","018 Cabinteely-Granitefield, Dún Laoghaire-Rathdown","Euro","57737"
"Household median gross income","2016","019 Cabinteely-Kilbogget, Dún Laoghaire-Rathdown","Euro","52911"
"Household median gross income","2016","020 Cabinteely-Loughlinstown, Dún Laoghaire-Rathdown","Euro","66509"
"Household median gross income","2016","021 Cabinteely-Pottery, Dún Laoghaire-Rathdown","Euro","62133"
"Household median gross income","2016","022 Churchtown-Castle, Dún Laoghaire-Rathdown","Euro","56114"
"Household median gross income","2016","023 Churchtown-Landscape, Dún Laoghaire-Rathdown","Euro","87584"
"Household median gross income","2016","024 Churchtown-Nutgrove, Dún Laoghaire-Rathdown","Euro","47686"
"Household median gross income","2016","025 Churchtown-Orwell, Dún Laoghaire-Rathdown","Euro","74226"
"Household median gross income","2016","026 Churchtown-Woodlawn, Dún Laoghaire-Rathdown","Euro","80628"
"Household median gross income","2016","027 Clonskeagh-Belfield, Dún Laoghaire-Rathdown","Euro","31307"
"Household median gross income","2016","028 Clonskeagh-Farranboley, Dún Laoghaire-Rathdown","Euro","45294"
"Household median gross income","2016","029 Clonskeagh-Milltown, Dún Laoghaire-Rathdown","Euro","91199"
"Household median gross income","2016","030 Clonskeagh-Roebuck, Dún Laoghaire-Rathdown","Euro","76324"
"Household median gross income","2016","031 Clonskeagh-Windy Arbour, Dún Laoghaire-Rathdown","Euro","62834"
"Household median gross income","2016","032 Dalkey-Avondale, Dún Laoghaire-Rathdown","Euro","67852"
"Household median gross income","2016","033 Dalkey-Bullock, Dún Laoghaire-Rathdown","Euro","63590"
