"Statistic","Year","County","Dwelling Status","Stamp Duty Event","Type of Buyer","Type of Sale","UNIT","VALUE"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Filings","Household Buyer - All","Market","Number","694"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Filings","Household Buyer - All","Non-Market","Number","386"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","267"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Market","Number","226"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Non-Market","Number","41"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","520"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Filings","Household Buyer - Former Owner-Occupier","Market","Number","292"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Filings","Household Buyer - Former Owner-Occupier","Non-Market","Number","228"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","293"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Filings","Household Buyer - Non-Occupier","Market","Number","176"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Filings","Household Buyer - Non-Occupier","Non-Market","Number","117"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Filings","Non-Household Buyer","All Sale Types","Number","36"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Filings","Non-Household Buyer","Market","Number","23"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Filings","Non-Household Buyer","Non-Market","Number","13"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Executions","All Buyer Types","All Sale Types","Number","960"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Executions","All Buyer Types","Market","Number","630"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Executions","All Buyer Types","Non-Market","Number","330"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Executions","Household Buyer - All","All Sale Types","Number","936"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Executions","Household Buyer - All","Market","Number","610"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Executions","Household Buyer - All","Non-Market","Number","326"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","219"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Number","185"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Non-Market","Number","34"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","477"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Executions","Household Buyer - Former Owner-Occupier","Market","Number","274"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Executions","Household Buyer - Former Owner-Occupier","Non-Market","Number","203"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","240"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Executions","Household Buyer - Non-Occupier","Market","Number","151"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Executions","Household Buyer - Non-Occupier","Non-Market","Number","89"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Executions","Non-Household Buyer","All Sale Types","Number","24"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Executions","Non-Household Buyer","Market","Number","20"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Executions","Non-Household Buyer","Non-Market","Number","4"
"Volume of Sales","2011","Limerick","New","Filings","All Buyer Types","All Sale Types","Number","188"
"Volume of Sales","2011","Limerick","New","Filings","All Buyer Types","Market","Number","166"
"Volume of Sales","2011","Limerick","New","Filings","All Buyer Types","Non-Market","Number","22"
"Volume of Sales","2011","Limerick","New","Filings","Household Buyer - All","All Sale Types","Number","176"
"Volume of Sales","2011","Limerick","New","Filings","Household Buyer - All","Market","Number","159"
"Volume of Sales","2011","Limerick","New","Filings","Household Buyer - All","Non-Market","Number","17"
"Volume of Sales","2011","Limerick","New","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","66"
"Volume of Sales","2011","Limerick","New","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Market","Number","64"
"Volume of Sales","2011","Limerick","New","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Non-Market","Number","2"
"Volume of Sales","2011","Limerick","New","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","42"
"Volume of Sales","2011","Limerick","New","Filings","Household Buyer - Former Owner-Occupier","Market","Number","34"
"Volume of Sales","2011","Limerick","New","Filings","Household Buyer - Former Owner-Occupier","Non-Market","Number","8"
"Volume of Sales","2011","Limerick","New","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","68"
"Volume of Sales","2011","Limerick","New","Filings","Household Buyer - Non-Occupier","Market","Number","61"
"Volume of Sales","2011","Limerick","New","Filings","Household Buyer - Non-Occupier","Non-Market","Number","7"
"Volume of Sales","2011","Limerick","New","Filings","Non-Household Buyer","All Sale Types","Number","12"
"Volume of Sales","2011","Limerick","New","Filings","Non-Household Buyer","Market","Number","7"
"Volume of Sales","2011","Limerick","New","Filings","Non-Household Buyer","Non-Market","Number","5"
"Volume of Sales","2011","Limerick","New","Executions","All Buyer Types","All Sale Types","Number","114"
"Volume of Sales","2011","Limerick","New","Executions","All Buyer Types","Market","Number","106"
"Volume of Sales","2011","Limerick","New","Executions","All Buyer Types","Non-Market","Number","8"
"Volume of Sales","2011","Limerick","New","Executions","Household Buyer - All","All Sale Types","Number","109"
"Volume of Sales","2011","Limerick","New","Executions","Household Buyer - All","Market","Number","101"
"Volume of Sales","2011","Limerick","New","Executions","Household Buyer - All","Non-Market","Number","8"
"Volume of Sales","2011","Limerick","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","42"
"Volume of Sales","2011","Limerick","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Number","41"
"Volume of Sales","2011","Limerick","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Non-Market","Number","1"
"Volume of Sales","2011","Limerick","New","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","30"
"Volume of Sales","2011","Limerick","New","Executions","Household Buyer - Former Owner-Occupier","Market","Number","24"
"Volume of Sales","2011","Limerick","New","Executions","Household Buyer - Former Owner-Occupier","Non-Market","Number","6"
"Volume of Sales","2011","Limerick","New","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","37"
"Volume of Sales","2011","Limerick","New","Executions","Household Buyer - Non-Occupier","Market","Number","36"
"Volume of Sales","2011","Limerick","New","Executions","Household Buyer - Non-Occupier","Non-Market","Number","1"
"Volume of Sales","2011","Limerick","New","Executions","Non-Household Buyer","All Sale Types","Number","5"
"Volume of Sales","2011","Limerick","New","Executions","Non-Household Buyer","Market","Number","5"
"Volume of Sales","2011","Limerick","New","Executions","Non-Household Buyer","Non-Market","Number","0"
"Volume of Sales","2011","Limerick","Existing","Filings","All Buyer Types","All Sale Types","Number","928"
"Volume of Sales","2011","Limerick","Existing","Filings","All Buyer Types","Market","Number","551"
"Volume of Sales","2011","Limerick","Existing","Filings","All Buyer Types","Non-Market","Number","377"
"Volume of Sales","2011","Limerick","Existing","Filings","Household Buyer - All","All Sale Types","Number","904"
"Volume of Sales","2011","Limerick","Existing","Filings","Household Buyer - All","Market","Number","535"
"Volume of Sales","2011","Limerick","Existing","Filings","Household Buyer - All","Non-Market","Number","369"
"Volume of Sales","2011","Limerick","Existing","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","201"
"Volume of Sales","2011","Limerick","Existing","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Market","Number","162"
"Volume of Sales","2011","Limerick","Existing","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Non-Market","Number","39"
"Volume of Sales","2011","Limerick","Existing","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","478"
"Volume of Sales","2011","Limerick","Existing","Filings","Household Buyer - Former Owner-Occupier","Market","Number","258"
"Volume of Sales","2011","Limerick","Existing","Filings","Household Buyer - Former Owner-Occupier","Non-Market","Number","220"
"Volume of Sales","2011","Limerick","Existing","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","225"
"Volume of Sales","2011","Limerick","Existing","Filings","Household Buyer - Non-Occupier","Market","Number","115"
"Volume of Sales","2011","Limerick","Existing","Filings","Household Buyer - Non-Occupier","Non-Market","Number","110"
"Volume of Sales","2011","Limerick","Existing","Filings","Non-Household Buyer","All Sale Types","Number","24"
"Volume of Sales","2011","Limerick","Existing","Filings","Non-Household Buyer","Market","Number","16"
"Volume of Sales","2011","Limerick","Existing","Filings","Non-Household Buyer","Non-Market","Number","8"
"Volume of Sales","2011","Limerick","Existing","Executions","All Buyer Types","All Sale Types","Number","846"
"Volume of Sales","2011","Limerick","Existing","Executions","All Buyer Types","Market","Number","524"
"Volume of Sales","2011","Limerick","Existing","Executions","All Buyer Types","Non-Market","Number","322"
