Statistic,Month,Age Group,Sex,UNIT,VALUE
Seasonally Adjusted Monthly Unemployment Rate,2003M04,25 - 74 years,Both sexes,%,3.7
Seasonally Adjusted Monthly Unemployment Rate,2003M04,25 - 74 years,Male,%,3.7
Seasonally Adjusted Monthly Unemployment Rate,2003M04,25 - 74 years,Female,%,3.8
Seasonally Adjusted Monthly Unemployment Rate,2003M05,15 - 24 years,Both sexes,%,8.7
Seasonally Adjusted Monthly Unemployment Rate,2003M05,15 - 24 years,Male,%,9.7
Seasonally Adjusted Monthly Unemployment Rate,2003M05,15 - 24 years,Female,%,7.5
Seasonally Adjusted Monthly Unemployment Rate,2003M05,15 - 74 years,Both sexes,%,4.7
Seasonally Adjusted Monthly Unemployment Rate,2003M05,15 - 74 years,Male,%,4.8
Seasonally Adjusted Monthly Unemployment Rate,2003M05,15 - 74 years,Female,%,4.6
Seasonally Adjusted Monthly Unemployment Rate,2003M05,25 - 74 years,Both sexes,%,3.7
Seasonally Adjusted Monthly Unemployment Rate,2003M05,25 - 74 years,Male,%,3.6
Seasonally Adjusted Monthly Unemployment Rate,2003M05,25 - 74 years,Female,%,3.8
Seasonally Adjusted Monthly Unemployment Rate,2003M06,15 - 24 years,Both sexes,%,8.9
Seasonally Adjusted Monthly Unemployment Rate,2003M06,15 - 24 years,Male,%,9.8
Seasonally Adjusted Monthly Unemployment Rate,2003M06,15 - 24 years,Female,%,7.8
Seasonally Adjusted Monthly Unemployment Rate,2003M06,15 - 74 years,Both sexes,%,4.9
Seasonally Adjusted Monthly Unemployment Rate,2003M06,15 - 74 years,Male,%,4.9
Seasonally Adjusted Monthly Unemployment Rate,2003M06,15 - 74 years,Female,%,4.8
Seasonally Adjusted Monthly Unemployment Rate,2003M06,25 - 74 years,Both sexes,%,3.8
Seasonally Adjusted Monthly Unemployment Rate,2003M06,25 - 74 years,Male,%,3.8
Seasonally Adjusted Monthly Unemployment Rate,2003M06,25 - 74 years,Female,%,3.9
Seasonally Adjusted Monthly Unemployment Rate,2003M07,15 - 24 years,Both sexes,%,9.1
Seasonally Adjusted Monthly Unemployment Rate,2003M07,15 - 24 years,Male,%,10
Seasonally Adjusted Monthly Unemployment Rate,2003M07,15 - 24 years,Female,%,8
Seasonally Adjusted Monthly Unemployment Rate,2003M07,15 - 74 years,Both sexes,%,5
Seasonally Adjusted Monthly Unemployment Rate,2003M07,15 - 74 years,Male,%,5.1
Seasonally Adjusted Monthly Unemployment Rate,2003M07,15 - 74 years,Female,%,4.9
Seasonally Adjusted Monthly Unemployment Rate,2003M07,25 - 74 years,Both sexes,%,4
Seasonally Adjusted Monthly Unemployment Rate,2003M07,25 - 74 years,Male,%,3.9
Seasonally Adjusted Monthly Unemployment Rate,2003M07,25 - 74 years,Female,%,4.1
Seasonally Adjusted Monthly Unemployment Rate,2003M08,15 - 24 years,Both sexes,%,9
Seasonally Adjusted Monthly Unemployment Rate,2003M08,15 - 24 years,Male,%,9.9
Seasonally Adjusted Monthly Unemployment Rate,2003M08,15 - 24 years,Female,%,7.9
Seasonally Adjusted Monthly Unemployment Rate,2003M08,15 - 74 years,Both sexes,%,5
Seasonally Adjusted Monthly Unemployment Rate,2003M08,15 - 74 years,Male,%,5.1
Seasonally Adjusted Monthly Unemployment Rate,2003M08,15 - 74 years,Female,%,5
Seasonally Adjusted Monthly Unemployment Rate,2003M08,25 - 74 years,Both sexes,%,4
Seasonally Adjusted Monthly Unemployment Rate,2003M08,25 - 74 years,Male,%,3.9
Seasonally Adjusted Monthly Unemployment Rate,2003M08,25 - 74 years,Female,%,4.1
Seasonally Adjusted Monthly Unemployment Rate,2003M09,15 - 24 years,Both sexes,%,9
Seasonally Adjusted Monthly Unemployment Rate,2003M09,15 - 24 years,Male,%,9.9
Seasonally Adjusted Monthly Unemployment Rate,2003M09,15 - 24 years,Female,%,8
Seasonally Adjusted Monthly Unemployment Rate,2003M09,15 - 74 years,Both sexes,%,5
Seasonally Adjusted Monthly Unemployment Rate,2003M09,15 - 74 years,Male,%,5
Seasonally Adjusted Monthly Unemployment Rate,2003M09,15 - 74 years,Female,%,4.9
Seasonally Adjusted Monthly Unemployment Rate,2003M09,25 - 74 years,Both sexes,%,3.9
Seasonally Adjusted Monthly Unemployment Rate,2003M09,25 - 74 years,Male,%,3.9
Seasonally Adjusted Monthly Unemployment Rate,2003M09,25 - 74 years,Female,%,4
Seasonally Adjusted Monthly Unemployment Rate,2003M10,15 - 24 years,Both sexes,%,8.7
Seasonally Adjusted Monthly Unemployment Rate,2003M10,15 - 24 years,Male,%,9.6
Seasonally Adjusted Monthly Unemployment Rate,2003M10,15 - 24 years,Female,%,7.7
Seasonally Adjusted Monthly Unemployment Rate,2003M10,15 - 74 years,Both sexes,%,4.7
Seasonally Adjusted Monthly Unemployment Rate,2003M10,15 - 74 years,Male,%,4.8
Seasonally Adjusted Monthly Unemployment Rate,2003M10,15 - 74 years,Female,%,4.6
Seasonally Adjusted Monthly Unemployment Rate,2003M10,25 - 74 years,Both sexes,%,3.7
Seasonally Adjusted Monthly Unemployment Rate,2003M10,25 - 74 years,Male,%,3.7
Seasonally Adjusted Monthly Unemployment Rate,2003M10,25 - 74 years,Female,%,3.8
Seasonally Adjusted Monthly Unemployment Rate,2003M11,15 - 24 years,Both sexes,%,8.7
Seasonally Adjusted Monthly Unemployment Rate,2003M11,15 - 24 years,Male,%,9.4
Seasonally Adjusted Monthly Unemployment Rate,2003M11,15 - 24 years,Female,%,7.8
Seasonally Adjusted Monthly Unemployment Rate,2003M11,15 - 74 years,Both sexes,%,4.7
Seasonally Adjusted Monthly Unemployment Rate,2003M11,15 - 74 years,Male,%,4.8
Seasonally Adjusted Monthly Unemployment Rate,2003M11,15 - 74 years,Female,%,4.6
Seasonally Adjusted Monthly Unemployment Rate,2003M11,25 - 74 years,Both sexes,%,3.7
Seasonally Adjusted Monthly Unemployment Rate,2003M11,25 - 74 years,Male,%,3.7
Seasonally Adjusted Monthly Unemployment Rate,2003M11,25 - 74 years,Female,%,3.7
Seasonally Adjusted Monthly Unemployment Rate,2003M12,15 - 24 years,Both sexes,%,8.9
Seasonally Adjusted Monthly Unemployment Rate,2003M12,15 - 24 years,Male,%,9.5
Seasonally Adjusted Monthly Unemployment Rate,2003M12,15 - 24 years,Female,%,8.1
Seasonally Adjusted Monthly Unemployment Rate,2003M12,15 - 74 years,Both sexes,%,4.8
Seasonally Adjusted Monthly Unemployment Rate,2003M12,15 - 74 years,Male,%,4.9
Seasonally Adjusted Monthly Unemployment Rate,2003M12,15 - 74 years,Female,%,4.7
Seasonally Adjusted Monthly Unemployment Rate,2003M12,25 - 74 years,Both sexes,%,3.8
Seasonally Adjusted Monthly Unemployment Rate,2003M12,25 - 74 years,Male,%,3.7
Seasonally Adjusted Monthly Unemployment Rate,2003M12,25 - 74 years,Female,%,3.8
Seasonally Adjusted Monthly Unemployment Rate,2004M01,15 - 24 years,Both sexes,%,9.2
Seasonally Adjusted Monthly Unemployment Rate,2004M01,15 - 24 years,Male,%,9.9
Seasonally Adjusted Monthly Unemployment Rate,2004M01,15 - 24 years,Female,%,8.4
Seasonally Adjusted Monthly Unemployment Rate,2004M01,15 - 74 years,Both sexes,%,5.1
Seasonally Adjusted Monthly Unemployment Rate,2004M01,15 - 74 years,Male,%,5.1
Seasonally Adjusted Monthly Unemployment Rate,2004M01,15 - 74 years,Female,%,5.1
Seasonally Adjusted Monthly Unemployment Rate,2004M01,25 - 74 years,Both sexes,%,4.1
Seasonally Adjusted Monthly Unemployment Rate,2004M01,25 - 74 years,Male,%,4
Seasonally Adjusted Monthly Unemployment Rate,2004M01,25 - 74 years,Female,%,4.1
Seasonally Adjusted Monthly Unemployment Rate,2004M02,15 - 24 years,Both sexes,%,9.3
Seasonally Adjusted Monthly Unemployment Rate,2004M02,15 - 24 years,Male,%,9.8
Seasonally Adjusted Monthly Unemployment Rate,2004M02,15 - 24 years,Female,%,8.7
Seasonally Adjusted Monthly Unemployment Rate,2004M02,15 - 74 years,Both sexes,%,5.2
Seasonally Adjusted Monthly Unemployment Rate,2004M02,15 - 74 years,Male,%,5.2
Seasonally Adjusted Monthly Unemployment Rate,2004M02,15 - 74 years,Female,%,5.2
Seasonally Adjusted Monthly Unemployment Rate,2004M02,25 - 74 years,Both sexes,%,4.1
Seasonally Adjusted Monthly Unemployment Rate,2004M02,25 - 74 years,Male,%,4.1
Seasonally Adjusted Monthly Unemployment Rate,2004M02,25 - 74 years,Female,%,4.2
Seasonally Adjusted Monthly Unemployment Rate,2004M03,15 - 24 years,Both sexes,%,9.2
Seasonally Adjusted Monthly Unemployment Rate,2004M03,15 - 24 years,Male,%,9.8
Seasonally Adjusted Monthly Unemployment Rate,2004M03,15 - 24 years,Female,%,8.4
Seasonally Adjusted Monthly Unemployment Rate,2004M03,15 - 74 years,Both sexes,%,5.1
Seasonally Adjusted Monthly Unemployment Rate,2004M03,15 - 74 years,Male,%,5.2
Seasonally Adjusted Monthly Unemployment Rate,2004M03,15 - 74 years,Female,%,5
Seasonally Adjusted Monthly Unemployment Rate,2004M03,25 - 74 years,Both sexes,%,4.1
Seasonally Adjusted Monthly Unemployment Rate,2004M03,25 - 74 years,Male,%,4.1
Seasonally Adjusted Monthly Unemployment Rate,2004M03,25 - 74 years,Female,%,4
Seasonally Adjusted Monthly Unemployment Rate,2004M04,15 - 24 years,Both sexes,%,8.6
Seasonally Adjusted Monthly Unemployment Rate,2004M04,15 - 24 years,Male,%,9.3
Seasonally Adjusted Monthly Unemployment Rate,2004M04,15 - 24 years,Female,%,7.8
Seasonally Adjusted Monthly Unemployment Rate,2004M04,15 - 74 years,Both sexes,%,4.8
Seasonally Adjusted Monthly Unemployment Rate,2004M04,15 - 74 years,Male,%,5
Seasonally Adjusted Monthly Unemployment Rate,2004M04,15 - 74 years,Female,%,4.6
Seasonally Adjusted Monthly Unemployment Rate,2004M04,25 - 74 years,Both sexes,%,3.9
Seasonally Adjusted Monthly Unemployment Rate,2004M04,25 - 74 years,Male,%,4
Seasonally Adjusted Monthly Unemployment Rate,2004M04,25 - 74 years,Female,%,3.7
Seasonally Adjusted Monthly Unemployment Rate,2004M05,15 - 24 years,Both sexes,%,8.5
Seasonally Adjusted Monthly Unemployment Rate,2004M05,15 - 24 years,Male,%,9.1
Seasonally Adjusted Monthly Unemployment Rate,2004M05,15 - 24 years,Female,%,7.8
Seasonally Adjusted Monthly Unemployment Rate,2004M05,15 - 74 years,Both sexes,%,4.7
Seasonally Adjusted Monthly Unemployment Rate,2004M05,15 - 74 years,Male,%,4.9
Seasonally Adjusted Monthly Unemployment Rate,2004M05,15 - 74 years,Female,%,4.4
Seasonally Adjusted Monthly Unemployment Rate,2004M05,25 - 74 years,Both sexes,%,3.7
Seasonally Adjusted Monthly Unemployment Rate,2004M05,25 - 74 years,Male,%,3.9
Seasonally Adjusted Monthly Unemployment Rate,2004M05,25 - 74 years,Female,%,3.4
Seasonally Adjusted Monthly Unemployment Rate,2004M06,15 - 24 years,Both sexes,%,8.6
Seasonally Adjusted Monthly Unemployment Rate,2004M06,15 - 24 years,Male,%,9.2
Seasonally Adjusted Monthly Unemployment Rate,2004M06,15 - 24 years,Female,%,7.8
Seasonally Adjusted Monthly Unemployment Rate,2004M06,15 - 74 years,Both sexes,%,4.5
Seasonally Adjusted Monthly Unemployment Rate,2004M06,15 - 74 years,Male,%,4.8
Seasonally Adjusted Monthly Unemployment Rate,2004M06,15 - 74 years,Female,%,4.2
Seasonally Adjusted Monthly Unemployment Rate,2004M06,25 - 74 years,Both sexes,%,3.5
Seasonally Adjusted Monthly Unemployment Rate,2004M06,25 - 74 years,Male,%,3.7
Seasonally Adjusted Monthly Unemployment Rate,2004M06,25 - 74 years,Female,%,3.2
Seasonally Adjusted Monthly Unemployment Rate,2004M07,15 - 24 years,Both sexes,%,8.6
Seasonally Adjusted Monthly Unemployment Rate,2004M07,15 - 24 years,Male,%,8.9
Seasonally Adjusted Monthly Unemployment Rate,2004M07,15 - 24 years,Female,%,8.3
Seasonally Adjusted Monthly Unemployment Rate,2004M07,15 - 74 years,Both sexes,%,4.5
Seasonally Adjusted Monthly Unemployment Rate,2004M07,15 - 74 years,Male,%,4.6
Seasonally Adjusted Monthly Unemployment Rate,2004M07,15 - 74 years,Female,%,4.2
Seasonally Adjusted Monthly Unemployment Rate,2004M07,25 - 74 years,Both sexes,%,3.4
Seasonally Adjusted Monthly Unemployment Rate,2004M07,25 - 74 years,Male,%,3.6
Seasonally Adjusted Monthly Unemployment Rate,2004M07,25 - 74 years,Female,%,3.1
Seasonally Adjusted Monthly Unemployment Rate,2004M08,15 - 24 years,Both sexes,%,8.7
Seasonally Adjusted Monthly Unemployment Rate,2004M08,15 - 24 years,Male,%,9
Seasonally Adjusted Monthly Unemployment Rate,2004M08,15 - 24 years,Female,%,8.4
Seasonally Adjusted Monthly Unemployment Rate,2004M08,15 - 74 years,Both sexes,%,4.4
Seasonally Adjusted Monthly Unemployment Rate,2004M08,15 - 74 years,Male,%,4.6
Seasonally Adjusted Monthly Unemployment Rate,2004M08,15 - 74 years,Female,%,4.3
Seasonally Adjusted Monthly Unemployment Rate,2004M08,25 - 74 years,Both sexes,%,3.4
Seasonally Adjusted Monthly Unemployment Rate,2004M08,25 - 74 years,Male,%,3.5
Seasonally Adjusted Monthly Unemployment Rate,2004M08,25 - 74 years,Female,%,3.1
Seasonally Adjusted Monthly Unemployment Rate,2004M09,15 - 24 years,Both sexes,%,9
Seasonally Adjusted Monthly Unemployment Rate,2004M09,15 - 24 years,Male,%,9.4
Seasonally Adjusted Monthly Unemployment Rate,2004M09,15 - 24 years,Female,%,8.5
Seasonally Adjusted Monthly Unemployment Rate,2004M09,15 - 74 years,Both sexes,%,4.6
Seasonally Adjusted Monthly Unemployment Rate,2004M09,15 - 74 years,Male,%,4.7
Seasonally Adjusted Monthly Unemployment Rate,2004M09,15 - 74 years,Female,%,4.5
Seasonally Adjusted Monthly Unemployment Rate,2004M09,25 - 74 years,Both sexes,%,3.5
Seasonally Adjusted Monthly Unemployment Rate,2004M09,25 - 74 years,Male,%,3.6
Seasonally Adjusted Monthly Unemployment Rate,2004M09,25 - 74 years,Female,%,3.3
Seasonally Adjusted Monthly Unemployment Rate,2004M10,15 - 24 years,Both sexes,%,8.9
Seasonally Adjusted Monthly Unemployment Rate,2004M10,15 - 24 years,Male,%,9.7
Seasonally Adjusted Monthly Unemployment Rate,2004M10,15 - 24 years,Female,%,7.9
Seasonally Adjusted Monthly Unemployment Rate,2004M10,15 - 74 years,Both sexes,%,4.7
Seasonally Adjusted Monthly Unemployment Rate,2004M10,15 - 74 years,Male,%,4.8
Seasonally Adjusted Monthly Unemployment Rate,2004M10,15 - 74 years,Female,%,4.6
Seasonally Adjusted Monthly Unemployment Rate,2004M10,25 - 74 years,Both sexes,%,3.6
Seasonally Adjusted Monthly Unemployment Rate,2004M10,25 - 74 years,Male,%,3.7
Seasonally Adjusted Monthly Unemployment Rate,2004M10,25 - 74 years,Female,%,3.6
Seasonally Adjusted Monthly Unemployment Rate,2004M11,15 - 24 years,Both sexes,%,8.8
Seasonally Adjusted Monthly Unemployment Rate,2004M11,15 - 24 years,Male,%,9.7
Seasonally Adjusted Monthly Unemployment Rate,2004M11,15 - 24 years,Female,%,7.6
Seasonally Adjusted Monthly Unemployment Rate,2004M11,15 - 74 years,Both sexes,%,4.7
Seasonally Adjusted Monthly Unemployment Rate,2004M11,15 - 74 years,Male,%,4.8
Seasonally Adjusted Monthly Unemployment Rate,2004M11,15 - 74 years,Female,%,4.6
Seasonally Adjusted Monthly Unemployment Rate,2004M11,25 - 74 years,Both sexes,%,3.7
Seasonally Adjusted Monthly Unemployment Rate,2004M11,25 - 74 years,Male,%,3.6
Seasonally Adjusted Monthly Unemployment Rate,2004M11,25 - 74 years,Female,%,3.7
Seasonally Adjusted Monthly Unemployment Rate,2004M12,15 - 24 years,Both sexes,%,8.7
Seasonally Adjusted Monthly Unemployment Rate,2004M12,15 - 24 years,Male,%,9.6
Seasonally Adjusted Monthly Unemployment Rate,2004M12,15 - 24 years,Female,%,7.7
Seasonally Adjusted Monthly Unemployment Rate,2004M12,15 - 74 years,Both sexes,%,4.6
Seasonally Adjusted Monthly Unemployment Rate,2004M12,15 - 74 years,Male,%,4.7
Seasonally Adjusted Monthly Unemployment Rate,2004M12,15 - 74 years,Female,%,4.6
Seasonally Adjusted Monthly Unemployment Rate,2004M12,25 - 74 years,Both sexes,%,3.6
Seasonally Adjusted Monthly Unemployment Rate,2004M12,25 - 74 years,Male,%,3.6
Seasonally Adjusted Monthly Unemployment Rate,2004M12,25 - 74 years,Female,%,3.7
Seasonally Adjusted Monthly Unemployment Rate,2005M01,15 - 24 years,Both sexes,%,8.3
Seasonally Adjusted Monthly Unemployment Rate,2005M01,15 - 24 years,Male,%,8.9
Seasonally Adjusted Monthly Unemployment Rate,2005M01,15 - 24 years,Female,%,7.7
Seasonally Adjusted Monthly Unemployment Rate,2005M01,15 - 74 years,Both sexes,%,4.4
Seasonally Adjusted Monthly Unemployment Rate,2005M01,15 - 74 years,Male,%,4.4
Seasonally Adjusted Monthly Unemployment Rate,2005M01,15 - 74 years,Female,%,4.4
Seasonally Adjusted Monthly Unemployment Rate,2005M01,25 - 74 years,Both sexes,%,3.5
Seasonally Adjusted Monthly Unemployment Rate,2005M01,25 - 74 years,Male,%,3.4
Seasonally Adjusted Monthly Unemployment Rate,2005M01,25 - 74 years,Female,%,3.5
Seasonally Adjusted Monthly Unemployment Rate,2005M02,15 - 24 years,Both sexes,%,8.2
Seasonally Adjusted Monthly Unemployment Rate,2005M02,15 - 24 years,Male,%,8.5
Seasonally Adjusted Monthly Unemployment Rate,2005M02,15 - 24 years,Female,%,7.7
Seasonally Adjusted Monthly Unemployment Rate,2005M02,15 - 74 years,Both sexes,%,4.3
Seasonally Adjusted Monthly Unemployment Rate,2005M02,15 - 74 years,Male,%,4.3
Seasonally Adjusted Monthly Unemployment Rate,2005M02,15 - 74 years,Female,%,4.4
Seasonally Adjusted Monthly Unemployment Rate,2005M02,25 - 74 years,Both sexes,%,3.4
Seasonally Adjusted Monthly Unemployment Rate,2005M02,25 - 74 years,Male,%,3.3
Seasonally Adjusted Monthly Unemployment Rate,2005M02,25 - 74 years,Female,%,3.5
Seasonally Adjusted Monthly Unemployment Rate,2005M03,15 - 24 years,Both sexes,%,8.4
Seasonally Adjusted Monthly Unemployment Rate,2005M03,15 - 24 years,Male,%,9
Seasonally Adjusted Monthly Unemployment Rate,2005M03,15 - 24 years,Female,%,7.7
Seasonally Adjusted Monthly Unemployment Rate,2005M03,15 - 74 years,Both sexes,%,4.6
Seasonally Adjusted Monthly Unemployment Rate,2005M03,15 - 74 years,Male,%,4.5
Seasonally Adjusted Monthly Unemployment Rate,2005M03,15 - 74 years,Female,%,4.6
Seasonally Adjusted Monthly Unemployment Rate,2005M03,25 - 74 years,Both sexes,%,3.6
Seasonally Adjusted Monthly Unemployment Rate,2005M03,25 - 74 years,Male,%,3.5
Seasonally Adjusted Monthly Unemployment Rate,2005M03,25 - 74 years,Female,%,3.8
Seasonally Adjusted Monthly Unemployment Rate,2005M04,15 - 24 years,Both sexes,%,8.7
Seasonally Adjusted Monthly Unemployment Rate,2005M04,15 - 24 years,Male,%,9.8
Seasonally Adjusted Monthly Unemployment Rate,2005M04,15 - 24 years,Female,%,7.5
Seasonally Adjusted Monthly Unemployment Rate,2005M04,15 - 74 years,Both sexes,%,4.8
Seasonally Adjusted Monthly Unemployment Rate,2005M04,15 - 74 years,Male,%,4.8
Seasonally Adjusted Monthly Unemployment Rate,2005M04,15 - 74 years,Female,%,4.7
Seasonally Adjusted Monthly Unemployment Rate,2005M04,25 - 74 years,Both sexes,%,3.8
Seasonally Adjusted Monthly Unemployment Rate,2005M04,25 - 74 years,Male,%,3.7
Seasonally Adjusted Monthly Unemployment Rate,2005M04,25 - 74 years,Female,%,3.9
Seasonally Adjusted Monthly Unemployment Rate,2005M05,15 - 24 years,Both sexes,%,8.9
Seasonally Adjusted Monthly Unemployment Rate,2005M05,15 - 24 years,Male,%,10.1
Seasonally Adjusted Monthly Unemployment Rate,2005M05,15 - 24 years,Female,%,7.6
Seasonally Adjusted Monthly Unemployment Rate,2005M05,15 - 74 years,Both sexes,%,4.9
Seasonally Adjusted Monthly Unemployment Rate,2005M05,15 - 74 years,Male,%,5
Seasonally Adjusted Monthly Unemployment Rate,2005M05,15 - 74 years,Female,%,4.9
Seasonally Adjusted Monthly Unemployment Rate,2005M05,25 - 74 years,Both sexes,%,4
Seasonally Adjusted Monthly Unemployment Rate,2005M05,25 - 74 years,Male,%,3.8
Seasonally Adjusted Monthly Unemployment Rate,2005M05,25 - 74 years,Female,%,4.1
Seasonally Adjusted Monthly Unemployment Rate,2005M06,15 - 24 years,Both sexes,%,8.9
Seasonally Adjusted Monthly Unemployment Rate,2005M06,15 - 24 years,Male,%,10
Seasonally Adjusted Monthly Unemployment Rate,2005M06,15 - 24 years,Female,%,7.7
Seasonally Adjusted Monthly Unemployment Rate,2005M06,15 - 74 years,Both sexes,%,4.9
Seasonally Adjusted Monthly Unemployment Rate,2005M06,15 - 74 years,Male,%,4.9
Seasonally Adjusted Monthly Unemployment Rate,2005M06,15 - 74 years,Female,%,4.8
Seasonally Adjusted Monthly Unemployment Rate,2005M06,25 - 74 years,Both sexes,%,3.9
Seasonally Adjusted Monthly Unemployment Rate,2005M06,25 - 74 years,Male,%,3.8
Seasonally Adjusted Monthly Unemployment Rate,2005M06,25 - 74 years,Female,%,4.1
Seasonally Adjusted Monthly Unemployment Rate,2005M07,15 - 24 years,Both sexes,%,9
Seasonally Adjusted Monthly Unemployment Rate,2005M07,15 - 24 years,Male,%,9.8
Seasonally Adjusted Monthly Unemployment Rate,2005M07,15 - 24 years,Female,%,7.9
Seasonally Adjusted Monthly Unemployment Rate,2005M07,15 - 74 years,Both sexes,%,4.8
Seasonally Adjusted Monthly Unemployment Rate,2005M07,15 - 74 years,Male,%,4.8
Seasonally Adjusted Monthly Unemployment Rate,2005M07,15 - 74 years,Female,%,4.8
Seasonally Adjusted Monthly Unemployment Rate,2005M07,25 - 74 years,Both sexes,%,3.8
Seasonally Adjusted Monthly Unemployment Rate,2005M07,25 - 74 years,Male,%,3.7
Seasonally Adjusted Monthly Unemployment Rate,2005M07,25 - 74 years,Female,%,4
Seasonally Adjusted Monthly Unemployment Rate,2005M08,15 - 24 years,Both sexes,%,9
Seasonally Adjusted Monthly Unemployment Rate,2005M08,15 - 24 years,Male,%,9.8
Seasonally Adjusted Monthly Unemployment Rate,2005M08,15 - 24 years,Female,%,8
Seasonally Adjusted Monthly Unemployment Rate,2005M08,15 - 74 years,Both sexes,%,4.7
Seasonally Adjusted Monthly Unemployment Rate,2005M08,15 - 74 years,Male,%,4.7
Seasonally Adjusted Monthly Unemployment Rate,2005M08,15 - 74 years,Female,%,4.7
Seasonally Adjusted Monthly Unemployment Rate,2005M08,25 - 74 years,Both sexes,%,3.7
Seasonally Adjusted Monthly Unemployment Rate,2005M08,25 - 74 years,Male,%,3.5
Seasonally Adjusted Monthly Unemployment Rate,2005M08,25 - 74 years,Female,%,3.9
Seasonally Adjusted Monthly Unemployment Rate,2005M09,15 - 24 years,Both sexes,%,8.8
Seasonally Adjusted Monthly Unemployment Rate,2005M09,15 - 24 years,Male,%,9.5
Seasonally Adjusted Monthly Unemployment Rate,2005M09,15 - 24 years,Female,%,7.9
Seasonally Adjusted Monthly Unemployment Rate,2005M09,15 - 74 years,Both sexes,%,4.6
Seasonally Adjusted Monthly Unemployment Rate,2005M09,15 - 74 years,Male,%,4.6
Seasonally Adjusted Monthly Unemployment Rate,2005M09,15 - 74 years,Female,%,4.6
Seasonally Adjusted Monthly Unemployment Rate,2005M09,25 - 74 years,Both sexes,%,3.6
Seasonally Adjusted Monthly Unemployment Rate,2005M09,25 - 74 years,Male,%,3.4
Seasonally Adjusted Monthly Unemployment Rate,2005M09,25 - 74 years,Female,%,3.8
Seasonally Adjusted Monthly Unemployment Rate,2005M10,15 - 24 years,Both sexes,%,8.6
Seasonally Adjusted Monthly Unemployment Rate,2005M10,15 - 24 years,Male,%,9.4
Seasonally Adjusted Monthly Unemployment Rate,2005M10,15 - 24 years,Female,%,7.6
Seasonally Adjusted Monthly Unemployment Rate,2005M10,15 - 74 years,Both sexes,%,4.5
Seasonally Adjusted Monthly Unemployment Rate,2005M10,15 - 74 years,Male,%,4.5
Seasonally Adjusted Monthly Unemployment Rate,2005M10,15 - 74 years,Female,%,4.6
Seasonally Adjusted Monthly Unemployment Rate,2005M10,25 - 74 years,Both sexes,%,3.5
Seasonally Adjusted Monthly Unemployment Rate,2005M10,25 - 74 years,Male,%,3.4
Seasonally Adjusted Monthly Unemployment Rate,2005M10,25 - 74 years,Female,%,3.8
Seasonally Adjusted Monthly Unemployment Rate,2005M11,15 - 24 years,Both sexes,%,8.6
Seasonally Adjusted Monthly Unemployment Rate,2005M11,15 - 24 years,Male,%,9.4
Seasonally Adjusted Monthly Unemployment Rate,2005M11,15 - 24 years,Female,%,7.7
Seasonally Adjusted Monthly Unemployment Rate,2005M11,15 - 74 years,Both sexes,%,4.5
Seasonally Adjusted Monthly Unemployment Rate,2005M11,15 - 74 years,Male,%,4.4
Seasonally Adjusted Monthly Unemployment Rate,2005M11,15 - 74 years,Female,%,4.7
Seasonally Adjusted Monthly Unemployment Rate,2005M11,25 - 74 years,Both sexes,%,3.6
Seasonally Adjusted Monthly Unemployment Rate,2005M11,25 - 74 years,Male,%,3.3
Seasonally Adjusted Monthly Unemployment Rate,2005M11,25 - 74 years,Female,%,3.9
Seasonally Adjusted Monthly Unemployment Rate,2005M12,15 - 24 years,Both sexes,%,8.7
Seasonally Adjusted Monthly Unemployment Rate,2005M12,15 - 24 years,Male,%,9.5
Seasonally Adjusted Monthly Unemployment Rate,2005M12,15 - 24 years,Female,%,7.7
Seasonally Adjusted Monthly Unemployment Rate,2005M12,15 - 74 years,Both sexes,%,4.6
Seasonally Adjusted Monthly Unemployment Rate,2005M12,15 - 74 years,Male,%,4.5
Seasonally Adjusted Monthly Unemployment Rate,2005M12,15 - 74 years,Female,%,4.7
Seasonally Adjusted Monthly Unemployment Rate,2005M12,25 - 74 years,Both sexes,%,3.6
Seasonally Adjusted Monthly Unemployment Rate,2005M12,25 - 74 years,Male,%,3.3
Seasonally Adjusted Monthly Unemployment Rate,2005M12,25 - 74 years,Female,%,3.9
Seasonally Adjusted Monthly Unemployment Rate,2006M01,15 - 24 years,Both sexes,%,8.9
Seasonally Adjusted Monthly Unemployment Rate,2006M01,15 - 24 years,Male,%,9.7
Seasonally Adjusted Monthly Unemployment Rate,2006M01,15 - 24 years,Female,%,8
Seasonally Adjusted Monthly Unemployment Rate,2006M01,15 - 74 years,Both sexes,%,4.7
Seasonally Adjusted Monthly Unemployment Rate,2006M01,15 - 74 years,Male,%,4.6
Seasonally Adjusted Monthly Unemployment Rate,2006M01,15 - 74 years,Female,%,4.8
Seasonally Adjusted Monthly Unemployment Rate,2006M01,25 - 74 years,Both sexes,%,3.7
Seasonally Adjusted Monthly Unemployment Rate,2006M01,25 - 74 years,Male,%,3.4
Seasonally Adjusted Monthly Unemployment Rate,2006M01,25 - 74 years,Female,%,4
Seasonally Adjusted Monthly Unemployment Rate,2006M02,15 - 24 years,Both sexes,%,9
Seasonally Adjusted Monthly Unemployment Rate,2006M02,15 - 24 years,Male,%,9.6
Seasonally Adjusted Monthly Unemployment Rate,2006M02,15 - 24 years,Female,%,8.3
Seasonally Adjusted Monthly Unemployment Rate,2006M02,15 - 74 years,Both sexes,%,4.7
Seasonally Adjusted Monthly Unemployment Rate,2006M02,15 - 74 years,Male,%,4.6
