"Statistic","CensusYear","Province County or City","UNIT","VALUE"
"Vacancy Rate - 2011","2016","Fingal","%","7"
"Vacancy Rate - 2011","2016","South Dublin","%","5.4"
"Vacancy Rate - 2011","2016","Kildare","%","8"
"Vacancy Rate - 2011","2016","Kilkenny","%","11.8"
"Vacancy Rate - 2011","2016","Laois","%","12.5"
"Vacancy Rate - 2011","2016","Longford","%","21.6"
"Vacancy Rate - 2011","2016","Louth","%","12.1"
"Vacancy Rate - 2011","2016","Meath","%","8.8"
"Vacancy Rate - 2011","2016","Offaly","%","11.7"
"Vacancy Rate - 2011","2016","Westmeath","%","13.4"
"Vacancy Rate - 2011","2016","Wexford","%","20.9"
"Vacancy Rate - 2011","2016","Wicklow","%","9.8"
"Vacancy Rate - 2011","2016","Munster","%","16.5"
"Vacancy Rate - 2011","2016","Clare","%","21.1"
"Vacancy Rate - 2011","2016","Cork","%","14.6"
"Vacancy Rate - 2011","2016","Cork City","%","11"
"Vacancy Rate - 2011","2016","Cork County","%","15.7"
"Vacancy Rate - 2011","2016","Kerry","%","26.2"
"Vacancy Rate - 2011","2016","Limerick","%","12.3"
"Vacancy Rate - 2011","2016","Limerick City","%","12.2"
"Vacancy Rate - 2011","2016","Limerick County","%","12.3"
"Vacancy Rate - 2011","2016","North Tipperary","%","14.6"
"Vacancy Rate - 2011","2016","South Tipperary","%","12.5"
"Vacancy Rate - 2011","2016","Waterford","%","16.4"
"Vacancy Rate - 2011","2016","Waterford City","%","14.7"
"Vacancy Rate - 2011","2016","Waterford County","%","17.6"
"Vacancy Rate - 2011","2016","Connacht","%","21.2"
"Vacancy Rate - 2011","2016","Galway","%","16.8"
"Vacancy Rate - 2011","2016","Galway City","%","11.1"
"Vacancy Rate - 2011","2016","Galway County","%","19.3"
"Vacancy Rate - 2011","2016","Leitrim","%","30.3"
"Vacancy Rate - 2011","2016","Mayo","%","24.6"
"Vacancy Rate - 2011","2016","Roscommon","%","23.1"
"Vacancy Rate - 2011","2016","Sligo","%","22.1"
"Vacancy Rate - 2011","2016","Ulster (part of)","%","24.2"
"Vacancy Rate - 2011","2016","Cavan","%","21.5"
"Vacancy Rate - 2011","2016","Donegal","%","28.4"
"Vacancy Rate - 2011","2016","Monaghan","%","13.5"
"Housing Stock -2016","2016","State","Number","2022895"
"Housing Stock -2016","2016","Leinster","Number","1046545"
"Housing Stock -2016","2016","Carlow","Number","23634"
"Housing Stock -2016","2016","Dublin","Number","534652"
"Housing Stock -2016","2016","Dublin City","Number","242397"
"Housing Stock -2016","2016","Dún Laoghaire-Rathdown","Number","87264"
"Housing Stock -2016","2016","Fingal","Number","105965"
"Housing Stock -2016","2016","South Dublin","Number","99026"
"Housing Stock -2016","2016","Kildare","Number","80746"
"Housing Stock -2016","2016","Kilkenny","Number","39534"
"Housing Stock -2016","2016","Laois","Number","33115"
"Housing Stock -2016","2016","Longford","Number","18747"
"Housing Stock -2016","2016","Louth","Number","51782"
"Housing Stock -2016","2016","Meath","Number","71433"
"Housing Stock -2016","2016","Offaly","Number","31038"
"Housing Stock -2016","2016","Westmeath","Number","37295"
"Housing Stock -2016","2016","Wexford","Number","69056"
"Housing Stock -2016","2016","Wicklow","Number","55513"
"Housing Stock -2016","2016","Munster","Number","568633"
"Housing Stock -2016","2016","Clare","Number","56285"
"Housing Stock -2016","2016","Cork","Number","231207"
"Housing Stock -2016","2016","Cork City","Number","56161"
"Housing Stock -2016","2016","Cork County","Number","175046"
"Housing Stock -2016","2016","Kerry","Number","75319"
"Housing Stock -2016","2016","Limerick","Number","82741"
"Housing Stock -2016","2016","Limerick City","Number","26480"
"Housing Stock -2016","2016","Limerick County","Number","56261"
"Housing Stock -2016","2016","North Tipperary","Number","31132"
"Housing Stock -2016","2016","South Tipperary","Number","38937"
"Housing Stock -2016","2016","Waterford","Number","53012"
"Housing Stock -2016","2016","Waterford City","Number","22627"
"Housing Stock -2016","2016","Waterford County","Number","30385"
"Housing Stock -2016","2016","Connacht","Number","263424"
"Housing Stock -2016","2016","Galway","Number","113975"
"Housing Stock -2016","2016","Galway City","Number","35006"
"Housing Stock -2016","2016","Galway County","Number","78969"
"Housing Stock -2016","2016","Leitrim","Number","18203"
"Housing Stock -2016","2016","Mayo","Number","66547"
"Housing Stock -2016","2016","Roscommon","Number","31534"
"Housing Stock -2016","2016","Sligo","Number","33165"
"Housing Stock -2016","2016","Ulster (part of)","Number","144293"
"Housing Stock -2016","2016","Cavan","Number","33875"
"Housing Stock -2016","2016","Donegal","Number","84785"
"Housing Stock -2016","2016","Monaghan","Number","25633"
"Vacant holiday homes 2016","2016","State","Number","61204"
"Vacant holiday homes 2016","2016","Leinster","Number","12103"
"Vacant holiday homes 2016","2016","Carlow","Number","272"
"Vacant holiday homes 2016","2016","Dublin","Number","1439"
"Vacant holiday homes 2016","2016","Dublin City","Number","937"
"Vacant holiday homes 2016","2016","Dún Laoghaire-Rathdown","Number","178"
"Vacant holiday homes 2016","2016","Fingal","Number","293"
"Vacant holiday homes 2016","2016","South Dublin","Number","31"
"Vacant holiday homes 2016","2016","Kildare","Number","146"
"Vacant holiday homes 2016","2016","Kilkenny","Number","520"
"Vacant holiday homes 2016","2016","Laois","Number","139"
"Vacant holiday homes 2016","2016","Longford","Number","260"
"Vacant holiday homes 2016","2016","Louth","Number","749"
"Vacant holiday homes 2016","2016","Meath","Number","261"
"Vacant holiday homes 2016","2016","Offaly","Number","235"
"Vacant holiday homes 2016","2016","Westmeath","Number","275"
"Vacant holiday homes 2016","2016","Wexford","Number","6756"
"Vacant holiday homes 2016","2016","Wicklow","Number","1051"
"Vacant holiday homes 2016","2016","Munster","Number","23197"
"Vacant holiday homes 2016","2016","Clare","Number","4739"
"Vacant holiday homes 2016","2016","Cork","Number","7118"
"Vacant holiday homes 2016","2016","Cork City","Number","62"
"Vacant holiday homes 2016","2016","Cork County","Number","7056"
"Vacant holiday homes 2016","2016","Kerry","Number","7917"
"Vacant holiday homes 2016","2016","Limerick","Number","393"
"Vacant holiday homes 2016","2016","Limerick City","Number","19"
"Vacant holiday homes 2016","2016","Limerick County","Number","374"
"Vacant holiday homes 2016","2016","North Tipperary","Number","543"
"Vacant holiday homes 2016","2016","South Tipperary","Number","410"
"Vacant holiday homes 2016","2016","Waterford","Number","2077"
"Vacant holiday homes 2016","2016","Waterford City","Number","81"
"Vacant holiday homes 2016","2016","Waterford County","Number","1996"
"Vacant holiday homes 2016","2016","Connacht","Number","13338"
"Vacant holiday homes 2016","2016","Galway","Number","3977"
"Vacant holiday homes 2016","2016","Galway City","Number","296"
"Vacant holiday homes 2016","2016","Galway County","Number","3681"
"Vacant holiday homes 2016","2016","Leitrim","Number","1589"
"Vacant holiday homes 2016","2016","Mayo","Number","4766"
"Vacant holiday homes 2016","2016","Roscommon","Number","1164"
"Vacant holiday homes 2016","2016","Sligo","Number","1842"
"Vacant holiday homes 2016","2016","Ulster (part of)","Number","12566"
"Vacant holiday homes 2016","2016","Cavan","Number","992"
"Vacant holiday homes 2016","2016","Donegal","Number","11341"
"Vacant holiday homes 2016","2016","Monaghan","Number","233"
"Other vacant dwellings 2016","2016","State","Number","198358"
"Other vacant dwellings 2016","2016","Leinster","Number","78005"
"Other vacant dwellings 2016","2016","Carlow","Number","2145"
"Other vacant dwellings 2016","2016","Dublin","Number","35293"
"Other vacant dwellings 2016","2016","Dublin City","Number","20844"
"Other vacant dwellings 2016","2016","Dún Laoghaire-Rathdown","Number","4968"
"Other vacant dwellings 2016","2016","Fingal","Number","5565"
"Other vacant dwellings 2016","2016","South Dublin","Number","3916"
"Other vacant dwellings 2016","2016","Kildare","Number","4967"
"Other vacant dwellings 2016","2016","Kilkenny","Number","3209"
"Other vacant dwellings 2016","2016","Laois","Number","3163"
"Other vacant dwellings 2016","2016","Longford","Number","3021"
"Other vacant dwellings 2016","2016","Louth","Number","4256"
"Other vacant dwellings 2016","2016","Meath","Number","5065"
"Other vacant dwellings 2016","2016","Offaly","Number","2768"
"Other vacant dwellings 2016","2016","Westmeath","Number","4059"
"Other vacant dwellings 2016","2016","Wexford","Number","6412"
"Other vacant dwellings 2016","2016","Wicklow","Number","3647"
"Other vacant dwellings 2016","2016","Munster","Number","60201"
"Other vacant dwellings 2016","2016","Clare","Number","6480"
"Other vacant dwellings 2016","2016","Cork","Number","21287"
"Other vacant dwellings 2016","2016","Cork City","Number","4491"
"Other vacant dwellings 2016","2016","Cork County","Number","16796"
"Other vacant dwellings 2016","2016","Kerry","Number","10340"
"Other vacant dwellings 2016","2016","Limerick","Number","8463"
"Other vacant dwellings 2016","2016","Limerick City","Number","2564"
"Other vacant dwellings 2016","2016","Limerick County","Number","5899"
"Other vacant dwellings 2016","2016","North Tipperary","Number","3738"
"Other vacant dwellings 2016","2016","South Tipperary","Number","4228"
"Other vacant dwellings 2016","2016","Waterford","Number","5665"
"Other vacant dwellings 2016","2016","Waterford City","Number","2669"
"Other vacant dwellings 2016","2016","Waterford County","Number","2996"
"Other vacant dwellings 2016","2016","Connacht","Number","39343"
"Other vacant dwellings 2016","2016","Galway","Number","13654"
"Other vacant dwellings 2016","2016","Galway City","Number","3375"
"Other vacant dwellings 2016","2016","Galway County","Number","10279"
"Other vacant dwellings 2016","2016","Leitrim","Number","3786"
"Other vacant dwellings 2016","2016","Mayo","Number","11180"
"Other vacant dwellings 2016","2016","Roscommon","Number","5658"
"Other vacant dwellings 2016","2016","Sligo","Number","5065"
"Other vacant dwellings 2016","2016","Ulster (part of)","Number","20809"
"Other vacant dwellings 2016","2016","Cavan","Number","5170"
"Other vacant dwellings 2016","2016","Donegal","Number","12558"
"Other vacant dwellings 2016","2016","Monaghan","Number","3081"
"Total vacant dwellings 2016","2016","State","Number","259562"
"Total vacant dwellings 2016","2016","Leinster","Number","90108"
"Total vacant dwellings 2016","2016","Carlow","Number","2417"
"Total vacant dwellings 2016","2016","Dublin","Number","36732"
